phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
008,Intestinal infection,001-009.99,Both,1,0,1,infectious diseases,blue, Intestinal infection,9006,399953
008.5,Bacterial enteritis,001-009.99,Both,1,0,1,infectious diseases,blue, Intestinal infection,2745,399953
008.51,Intestinal e.coli,001-009.99,Both,1,1,1,infectious diseases,blue, Intestinal infection,34,399953
008.52,Intestinal infection due to C. difficile,001-009.99,Both,1,1,1,infectious diseases,blue, Intestinal infection,658,399953
008.6,Viral Enteritis,001-009.99,Both,1,1,1,infectious diseases,blue, Intestinal infection,866,399953
008.7,Intestinal infection due to protozoa,001-009.99,Both,1,1,1,infectious diseases,blue, Intestinal infection,55,399953
010,Tuberculosis,010-041.99,Both,1,1,1,infectious diseases,blue, bacterial infection,174,393730
031,Diseases due to other mycobacteria,010-041.99,Both,1,0,1,infectious diseases,blue, bacterial infection,20,393730
038,Septicemia,010-041.99,Both,1,0,1,infectious diseases,blue, bacterial infection,4206,393730
038.1,Gram negative septicemia,010-041.99,Both,1,1,1,infectious diseases,blue, bacterial infection,854,393730
038.2,Gram positive septicemia,010-041.99,Both,1,1,1,infectious diseases,blue, bacterial infection,498,393730
041,Bacterial infection NOS,010-041.99,Both,1,0,1,infectious diseases,blue, bacterial infection,12201,393730
041.1,Staphylococcus infections,010-041.99,Both,1,0,1,infectious diseases,blue, bacterial infection,3153,393730
041.2,Streptococcus infection,010-041.99,Both,1,0,1,infectious diseases,blue, bacterial infection,1648,393730
041.21,Rheumatic fever / chorea,010-041.99,Both,1,1,1,infectious diseases,blue, bacterial infection,20,393730
041.4,E. coli,010-041.99,Both,1,1,1,infectious diseases,blue, bacterial infection,2744,393730
053,Herpes zoster,050-079.99,Both,1,0,1,infectious diseases,blue, Viral infection,421,403302
053.1,Herpes zoster with nervous system complications,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,96,403302
054,Herpes simplex,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,214,403302
070,Viral hepatitis,050-079.99,Both,1,0,1,infectious diseases,blue, Viral infection,593,403302
